date,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,income_support,facial_coverings,vaccination_policy,stringency_index,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
2021-02-25,1454.0,358360.0,25317.0,301.0,56943.0,3430.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,25403.0,261.0,254868.0,344404.0,3558022.0,85582.0,38413653.0,52692515.0,100579.0,2981522.0,94360.0,1575697.0,194939.0,4557219.0
2021-02-26,1634.0,359994.0,25130.0,303.0,57246.0,3445.0,1.0,3.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,3.0,70.37,25207.0,539.0,256326.0,389895.0,3558022.0,86121.0,38669979.0,53082410.0,113468.0,3094990.0,73837.0,1649534.0,187305.0,4744524.0
2021-02-27,1007.0,361001.0,24989.0,208.0,57454.0,3453.0,1.0,3.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,3.0,70.37,23996.0,185.0,257258.0,206530.0,3558022.0,86306.0,38927237.0,53288940.0,52103.0,3147093.0,23528.0,1673062.0,75631.0,4820155.0
2021-02-28,728.0,361729.0,25280.0,164.0,57618.0,3492.0,1.0,3.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,3.0,70.37,19952.0,122.0,257555.0,44423.0,3558022.0,86428.0,39184792.0,53333363.0,6200.0,3153293.0,4395.0,1677457.0,10595.0,4830750.0
2021-03-01,1393.0,363122.0,25430.0,347.0,57965.0,3544.0,1.0,3.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,3.0,70.37,4703.0,375.0,258384.0,404245.0,3558022.0,86803.0,39443176.0,53737608.0,65894.0,3219187.0,55626.0,1733083.0,121520.0,4952270.0
2021-03-02,1705.0,364827.0,25263.0,366.0,58331.0,3586.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,22857.0,417.0,259893.0,337545.0,3558022.0,87220.0,39703069.0,54075153.0,101380.0,3320567.0,69993.0,1803076.0,171373.0,5123643.0
2021-03-03,1622.0,366449.0,25111.0,322.0,58653.0,3637.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,26788.0,322.0,261289.0,320358.0,3558022.0,87542.0,39964358.0,54395511.0,116526.0,3437093.0,69097.0,1872173.0,185623.0,5309266.0
2021-03-04,1538.0,367987.0,24891.0,293.0,58946.0,3633.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,25279.0,293.0,262690.0,345076.0,3558022.0,87835.0,40227048.0,54740587.0,163629.0,3600722.0,77122.0,1949295.0,240751.0,5550017.0
2021-03-05,1397.0,369384.0,24765.0,324.0,59270.0,3680.0,1.0,3.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,3.0,70.37,23507.0,439.0,263919.0,395865.0,3558022.0,88274.0,40490967.0,55136452.0,200930.0,3801652.0,69583.0,2018878.0,270513.0,5820530.0
2021-03-06,1097.0,370481.0,24625.0,233.0,59503.0,3689.0,1.0,3.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,3.0,70.37,23306.0,170.0,264909.0,213949.0,3558022.0,88444.0,40755876.0,55350401.0,207958.0,4009610.0,22907.0,2041785.0,230865.0,6051395.0
2021-03-07,720.0,371201.0,24818.0,187.0,59690.0,3743.0,1.0,3.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,3.0,70.37,21825.0,130.0,265295.0,46181.0,3558022.0,88574.0,41021171.0,55396582.0,121276.0,4130886.0,7821.0,2049606.0,129097.0,6180492.0
2021-03-08,1584.0,372785.0,25195.0,381.0,60071.0,3849.0,1.0,3.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,3.0,70.37,5327.0,359.0,266096.0,427662.0,3558022.0,88933.0,41287267.0,55824244.0,107151.0,4238037.0,53399.0,2103005.0,160550.0,6341042.0
2021-03-09,1810.0,374595.0,25201.0,421.0,60492.0,3918.0,1.0,3.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,62.04,23302.0,368.0,267539.0,370517.0,3558022.0,89301.0,41554806.0,56194761.0,172457.0,4410494.0,61746.0,2164751.0,234203.0,6575245.0
2021-03-10,1574.0,376169.0,24969.0,343.0,60835.0,3918.0,1.0,3.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,62.04,30303.0,331.0,269019.0,346112.0,3558022.0,89632.0,41823825.0,56540873.0,178997.0,4589491.0,62835.0,2227586.0,241832.0,6817077.0
2021-03-11,1609.0,377778.0,24858.0,385.0,61220.0,3992.0,1.0,3.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,62.04,27166.0,265.0,270433.0,410370.0,3558022.0,89897.0,42094258.0,56951243.0,242898.0,4832389.0,71960.0,2299546.0,314858.0,7131935.0
2021-03-12,1448.0,379226.0,24749.0,306.0,61526.0,4033.0,1.0,3.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,62.04,25229.0,223.0,271678.0,464619.0,3558022.0,90120.0,42365936.0,57415862.0,294822.0,5127211.0,62884.0,2362430.0,357706.0,7489641.0
